,masa,px,py,pz,E,masa*,px*,py*,pz*,E*
40,-13.0,21.442670920999998,39.066771707,9.6339009829,45.593999999999994,13.0,-21.442670920999998,-39.066771707,-9.6339009829,45.593999999999994
41,-13.0,5.5375324817,-34.225775227,29.609878084,45.593999999999994,13.0,-5.5375324817,34.225775227,-29.609878084,45.593999999999994
42,-13.0,2.3727273046,20.905807469000003,40.449106482,45.593999999999994,13.0,-2.3727273046,-20.905807469000003,-40.449106482,45.593999999999994
43,-13.0,32.226709124,-4.7129092968,-31.906747578,45.593999999999994,13.0,-32.226709124,4.7129092968,31.906747578,45.593999999999994
44,-13.0,20.017806064000002,-2.3084455613,40.899527571,45.593999999999994,13.0,-20.017806064000002,2.3084455613,-40.899527571,45.593999999999994
45,-13.0,-9.0588930801,-44.449988968,4.5768737004,45.593999999999994,13.0,9.0588930801,44.449988968,-4.5768737004,45.593999999999994
46,-13.0,-43.10378089,14.703617872999999,2.1634533576,45.593999999999994,13.0,43.10378089,-14.703617872999999,-2.1634533576,45.593999999999994
47,-13.0,45.409320314,-4.0579182363,-0.58289298119,45.593999999999994,13.0,-45.409320314,4.0579182363,0.58289298119,45.593999999999994
48,-13.0,-14.975082696,8.0884968841,-42.298179067,45.593999999999994,13.0,14.975082696,-8.0884968841,42.298179067,45.593999999999994
49,-13.0,-19.45045509,-16.247312299,-37.901417861,45.593999999999994,13.0,19.45045509,16.247312299,37.901417861,45.593999999999994
50,-13.0,-15.590016929,-33.274291464,-26.992327349,45.593999999999994,13.0,15.590016929,33.274291464,26.992327349,45.593999999999994
51,-13.0,22.97924108,35.726545504,16.564457786,45.593999999999994,13.0,-22.97924108,-35.726545504,-16.564457786,45.593999999999994
52,-13.0,1.635837244,42.238475868,17.089412771,45.593999999999994,13.0,-1.635837244,-42.238475868,-17.089412771,45.593999999999994
53,-13.0,-4.7730062631,-36.691575079,26.641313131999997,45.593999999999994,13.0,4.7730062631,36.691575079,-26.641313131999997,45.593999999999994
54,-13.0,-34.213941508000005,-19.465287504000003,-23.006990783000003,45.593999999999994,13.0,34.213941508000005,19.465287504000003,23.006990783000003,45.593999999999994
55,-13.0,-30.749876241,-7.025582417000001,32.922623511,45.593999999999994,13.0,30.749876241,7.025582417000001,-32.922623511,45.593999999999994
56,-13.0,6.389976197899999,-14.63363972,-42.706412033,45.593999999999994,13.0,-6.389976197899999,14.63363972,42.706412033,45.593999999999994
57,-13.0,-39.675333067,-19.447279669,11.246514815,45.593999999999994,13.0,39.675333067,19.447279669,-11.246514815,45.593999999999994
58,-13.0,-15.378921964000002,39.795346273,16.082039989000002,45.593999999999994,13.0,15.378921964000002,-39.795346273,-16.082039989000002,45.593999999999994
59,-13.0,-6.3846094099,-41.193999012,18.469002248,45.593999999999994,13.0,6.3846094099,41.193999012,-18.469002248,45.593999999999994
60,-13.0,10.31532104,44.391101936999995,-1.3553806194,45.593999999999994,13.0,-10.31532104,-44.391101936999995,1.3553806194,45.593999999999994
